laptop_specs_brand,laptop_specs_ram_amount,laptop_specs_ram_type,laptop_specs_storage_amount,laptop_specs_storage_type,laptop_specs_webcam_resolution,laptop_specs_screen_size,laptop_specs_screen_refresh_rate,laptop_specs_screen_brightness,laptop_specs_battery_capacity,laptop_specs_battery_cells,laptop_specs_weight,laptop_specs_default_os,laptop_specs_warranty,laptop_specs_price,laptop_specs_width,laptop_specs_depth,laptop_specs_height,laptop_specs_number_usb_a_ports,laptop_specs_number_usb_c_ports,laptop_specs_number_hdmi_ports,laptop_specs_number_ethernet_ports,laptop_specs_number_audio_jacks,cpu_specs_multithread_rating,cpu_specs_single_thread_rating,cpu_specs_integer_math,cpu_specs_floating_point_math,cpu_specs_find_prime_numbers,cpu_specs_random_string_sorting,cpu_specs_data_encryption,cpu_specs_data_compression,cpu_specs_physics,cpu_specs_extended_instructions,cpu_specs_single_thread,gpu_specs_avg_g3d_mark,gpu_specs_test_directx_9,gpu_specs_test_directx_10,gpu_specs_test_directx_11,gpu_specs_test_directx_12,gpu_specs_test_gpu_compute,category,screen_area,screen_ratio
0,16.0,1,512.0,2,1,14.0,90.0,400.0,65.0,4.0,1.3,6,12.0,23390000,31.29,21.79,1.49,0.0,2.0,1.0,0.0,0.0,22301,3501,72517,53887,90,29005,15271,253186,1541,14647,3501,0.0,0.0,0.0,0.0,0.0,0.0,1,5184000,1.6
0,16.0,1,512.0,2,1,14.0,90.0,400.0,65.0,4.0,1.4,6,12.0,26290000,31.29,21.79,1.49,0.0,2.0,1.0,0.0,0.0,25114,3523,88381,64685,114,31400,16655,279971,1775,16443,3523,0.0,0.0,0.0,0.0,0.0,0.0,1,5184000,1.6
2,16.0,1,512.0,2,1,15.6,144.0,250.0,90.0,4.0,2.2,6,12.0,24990000,35.4,25.1,2.49,0.0,2.0,1.0,0.0,0.0,23962,3225,87461,49983,56,32387,19230,318531,1010,22303,3225,14428.0,186.0,81.0,131.0,61.0,5939.0,1,2073600,1.7777777777777777
2,16.0,1,512.0,2,1,15.6,144.0,250.0,90.0,4.0,2.2,6,12.0,27490000,35.4,25.1,2.49,0.0,2.0,1.0,0.0,0.0,23962,3225,87461,49983,56,32387,19230,318531,1010,22303,3225,17662.0,218.0,110.0,159.0,73.0,6828.0,1,2073600,1.7777777777777777
2,16.0,1,512.0,2,1,15.6,144.0,250.0,35.0,4.0,2.2,6,24.0,27990000,35.4,25.1,2.49,0.0,1.0,1.0,0.0,0.0,24850,3689,84451,62278,100,29800,16091,290251,1678,18001,3689,14428.0,186.0,81.0,131.0,61.0,5939.0,1,2073600,1.7777777777777777
5,16.0,1,1024.0,2,1,14.0,120.0,500.0,59.0,3.0,1.4,6,12.0,29690000,31.33,21.89,1.69,0.0,2.0,1.0,0.0,0.0,24529,3657,90683,52038,79,33296,17364,284698,1140,20005,3657,0.0,0.0,0.0,0.0,0.0,0.0,1,5184000,1.6
5,16.0,1,512.0,2,1,14.0,120.0,500.0,56.0,3.0,1.4,6,12.0,25690000,31.86,22.44,2.24,0.0,2.0,1.0,0.0,0.0,16781,3445,59322,41990,64,19837,11808,182864,1110,10307,3445,0.0,0.0,0.0,0.0,0.0,0.0,1,2304000,1.6
5,8.0,0,256.0,2,1,15.6,120.0,250.0,41.0,3.0,1.6,6,12.0,11290000,52.0,30.5,0.69,0.0,1.0,1.0,0.0,0.0,12168,3516,38961,28164,45,14843,8070,134644,764,7806,3516,0.0,0.0,0.0,0.0,0.0,0.0,1,2073600,1.7777777777777777
0,8.0,1,512.0,2,1,16.0,165.0,300.0,57.0,4.0,2.5,6,12.0,28690000,36.18,27.84,2.55,0.0,1.0,1.0,0.0,0.0,28820,3770,99823,60655,87,40633,20762,351350,1350,26137,3770,14428.0,186.0,81.0,131.0,61.0,5939.0,1,2304000,1.6
0,8.0,1,512.0,2,1,16.0,165.0,300.0,57.0,4.0,2.5,6,12.0,26290000,36.18,27.84,2.55,0.0,1.0,1.0,0.0,0.0,28820,3770,99823,60655,87,40633,20762,351350,1350,26137,3770,9458.0,118.0,55.0,73.0,45.0,3865.0,1,2304000,1.6
5,16.0,1,1024.0,2,1,14.0,120.0,500.0,59.0,3.0,1.4,6,12.0,28490000,31.34,21.89,1.69,0.0,1.0,1.0,0.0,0.0,17450,3322,57620,41863,63,21428,12402,197964,1113,11394,3322,0.0,0.0,0.0,0.0,0.0,0.0,1,5184000,1.6
